Year,Charge,Non_DAT,DAT
2013,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,6354,940
2013,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,5625,3175
2013,LOC000000V-VIOL OF LOCAL LAW VIOL,4941,938
2013,PL 2200300-CRIM POSS CONTRL SUBST-7TH,3845,1461
2013,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,3484,3970
2013,PL 1654000-CRIM POSSESSION STOLN PROP-5TH,2738,2095
2013,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,2087,2645
2013,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,1476,283
2013,PL 1950500-OBSTRUCT GOVERNMENTL ADMIN-2ND,1324,9
2013,PL 2214000-CRIM SALE MARIHUANA-4TH,1254,2
2013,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,1169,2
2013,PL 1552500-PETIT LARCENY,1097,759
2013,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,1005,781
2013,PL 1401000-CRIMINAL TRESPASS-3RD,915,370
2013,PL 1201401-MENACING-2ND:WEAPON,908,54
2013,PL 1401500-CRIMINAL TRESPASS-2ND,781,296
2013,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,731,968
2013,PL 2053000-RESISTING ARREST,650,7
2013,PL 2403001-AGG HAR-2ND:COMUNICATE/ALARM,589,74
2013,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,581,4
2013,VTL11920U3-DWI- 1ST OFFENSE              ,522,0
2013,LOC00000UM-VIOL OF LOCAL LAW MISD,514,257
2013,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,7088,1058
2013,LOC000000V-VIOL OF LOCAL LAW VIOL,6284,649
2013,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,6122,2212
2013,PL 2200300-CRIM POSS CONTRL SUBST-7TH,3757,1719
2013,PL 1654000-CRIM POSSESSION STOLN PROP-5TH,2811,2212
2013,VTL0511001-AGGRAVATED UNLIC OPER/MV-3RD,2046,2509
2013,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,1773,5668
2013,PL 1950500-OBSTRUCT GOVERNMENTL ADMIN-2ND,1499,11
2013,PL 1450001-CRIM MIS:INTENT DAMAGE PROPRTY,1394,269
2013,VTL11920U2-OPER MV .08 OF 1% ALCOHOL-1ST ,1367,1
2013,PL 2214000-CRIM SALE MARIHUANA-4TH,1362,3
2013,PL 1552500-PETIT LARCENY,1252,881
2013,PL 1201401-MENACING-2ND:WEAPON,969,77
2013,LOC00000UM-VIOL OF LOCAL LAW MISD,927,236
2013,PL 2650101-CRIM POSS WEAP-4TH:FIREARM/WEP,908,819
2013,PL 1401000-CRIMINAL TRESPASS-3RD,844,353
2013,VTL051101A-AGGRAVATED UNLIC OPER VEH-3RD,735,829
2013,PL 2053000-RESISTING ARREST,662,2
2013,PL 2403001-AGG HAR-2ND:COMUNICATE/ALARM,662,91
2013,VTL11920U3-DWI- 1ST OFFENSE              ,613,1
2013,PL 2155003-CRIM CONTEMPT-2ND:DISOBEY CRT,598,1
2013,PL 1401500-CRIMINAL TRESPASS-2ND,589,269
2013,PL 1200001-ASLT W/INT CAUSES PHYS INJURY,6972,1169
2013,PL 1651503-INTENT/FRAUD OBT TRANS W/O PAY,5557,2001
2013,LOC000000V-VIOL OF LOCAL LAW VIOL,6616,596
2013,PL 2211001-C/P MARIHUANA-5TH:PUBLIC PLACE,1367,5453
