year,borough,race,sex,age_group,pop
2013,bronx,nh_white,male,1,4102
2013,bronx,nh_white,male,2,3843
2013,bronx,nh_white,male,3,3379
2013,bronx,nh_white,male,4,3977
2013,bronx,nh_white,male,5,5013
2013,bronx,nh_white,male,6,4673
2013,bronx,nh_white,male,7,4440
2013,bronx,nh_white,male,8,4049
2013,bronx,nh_white,male,9,4440
2013,bronx,nh_white,male,10,4846
2013,bronx,nh_white,male,11,5121
2013,bronx,nh_white,male,12,5232
2013,bronx,nh_white,male,13,5038
2013,bronx,nh_white,male,14,4179
2013,bronx,nh_white,male,15,3187
2013,bronx,nh_white,male,16,2600
2013,bronx,nh_white,male,17,2310
2013,bronx,nh_white,male,18,2602
2013,bronx,nh_white,female,1,3866
2013,bronx,nh_white,female,2,3646
2013,bronx,nh_white,female,3,3101
2013,bronx,nh_white,female,4,3387
2013,bronx,nh_white,female,5,4623
2013,bronx,nh_white,female,6,4766
2013,bronx,nh_white,female,7,4253
2013,bronx,nh_white,female,8,3693
2013,bronx,nh_white,female,9,3766
2013,bronx,nh_white,female,10,4209
2013,bronx,nh_white,female,11,4827
2013,bronx,nh_white,female,12,5424
2013,bronx,nh_white,female,13,5130
2013,bronx,nh_white,female,14,4677
2013,bronx,nh_white,female,15,4023
2013,bronx,nh_white,female,16,3665
2013,bronx,nh_white,female,17,3578
2013,bronx,nh_white,female,18,5962
2013,kings,nh_white,male,1,35037
2013,kings,nh_white,male,2,29807
2013,kings,nh_white,male,3,24846
2013,kings,nh_white,male,4,21852
2013,kings,nh_white,male,5,28937
2013,kings,nh_white,male,6,47129
2013,kings,nh_white,male,7,45550
2013,kings,nh_white,male,8,36848
2013,kings,nh_white,male,9,30510
2013,kings,nh_white,male,10,25073
2013,kings,nh_white,male,11,25014
2013,kings,nh_white,male,12,24963
2013,kings,nh_white,male,13,23944
2013,kings,nh_white,male,14,18709
2013,kings,nh_white,male,15,11933
2013,kings,nh_white,male,16,10079
2013,kings,nh_white,male,17,7832
2013,kings,nh_white,male,18,8663
2013,kings,nh_white,female,1,32871
2013,kings,nh_white,female,2,28124
2013,kings,nh_white,female,3,23612
2013,kings,nh_white,female,4,20727
2013,kings,nh_white,female,5,30846
2013,kings,nh_white,female,6,49950
2013,kings,nh_white,female,7,45276
2013,kings,nh_white,female,8,34613
2013,kings,nh_white,female,9,28044
2013,kings,nh_white,female,10,23721
2013,kings,nh_white,female,11,25142
2013,kings,nh_white,female,12,26723
2013,kings,nh_white,female,13,26902
2013,kings,nh_white,female,14,21033
2013,kings,nh_white,female,15,15225
2013,kings,nh_white,female,16,13560
2013,kings,nh_white,female,17,12116
2013,kings,nh_white,female,18,17218
2013,manhattan,nh_white,male,1,16561
2013,manhattan,nh_white,male,2,11382
2013,manhattan,nh_white,male,3,9067
2013,manhattan,nh_white,male,4,10006
2013,manhattan,nh_white,male,5,20276
2013,manhattan,nh_white,male,6,49653
2013,manhattan,nh_white,male,7,44446
2013,manhattan,nh_white,male,8,31881
2013,manhattan,nh_white,male,9,29244
2013,manhattan,nh_white,male,10,26471
2013,manhattan,nh_white,male,11,25208
2013,manhattan,nh_white,male,12,23215
2013,manhattan,nh_white,male,13,21306
2013,manhattan,nh_white,male,14,17657
2013,manhattan,nh_white,male,15,12963
2013,manhattan,nh_white,male,16,9100
2013,manhattan,nh_white,male,17,6798
2013,manhattan,nh_white,male,18,6335
2013,manhattan,nh_white,female,1,15984
2013,manhattan,nh_white,female,2,10880
2013,manhattan,nh_white,female,3,8655
2013,manhattan,nh_white,female,4,12551
2013,manhattan,nh_white,female,5,27849
2013,manhattan,nh_white,female,6,61872
