Year,Race,Non_DAT,DAT
2013,AMER IND,79,58
2013,ASIAN/PAC.ISL,1190,955
2013,BLACK,21471,7729
2013,BLACK HISPANIC,3450,1602
2013,UNKNOWN,578,409
2013,WHITE,4530,3113
2013,WHITE HISPANIC,11292,5224
2013,AMER IND,106,62
2013,ASIAN/PAC.ISL,1336,983
2013,BLACK,21802,8447
2013,HISPANIC,15605,6860
2013,UNKNOWN,590,336
2013,WHITE,4823,3182
2013,AMER IND,95,57
2013,ASIAN/PAC.ISL,1253,1040
2013,BLACK,20802,8478
2013,HISPANIC,14653,7217
2013,UNKNOWN,549,357
2013,WHITE,4223,3149
2013,AMER IND,94,64
2013,ASIAN/PAC.ISL,1407,1111
2013,BLACK,19320,8111
2013,HISPANIC,13263,7094
2013,UNKNOWN,483,294
2013,WHITE,4153,3200
2014,AMER IND,90,65
2014,ASIAN/PAC.ISL,1276,1088
2014,BLACK,19807,8982
2014,BLACK HISPANIC,3415,1886
2014,UNKNOWN,420,323
2014,WHITE,4218,3586
2014,WHITE HISPANIC,10866,6080
2014,AMER IND,70,78
2014,ASIAN/PAC.ISL,1247,1120
2014,BLACK,20733,9418
2014,HISPANIC,14187,8004
2014,UNKNOWN,461,305
2014,WHITE,4343,3865
2014,AMER IND,78,71
2014,ASIAN/PAC.ISL,1210,1103
2014,BLACK,20355,9435
2014,HISPANIC,13326,7589
2014,UNKNOWN,386,262
2014,WHITE,4029,3404
2014,AMER IND,62,62
2014,ASIAN/PAC.ISL,989,986
2014,BLACK,15452,7238
2014,HISPANIC,10996,6392
2014,UNKNOWN,291,250
2014,WHITE,3545,2894
2015,AMER IND,58,53
2015,ASIAN/PAC.ISL,964,848
2015,BLACK,15541,6554
2015,BLACK HISPANIC,2404,1352
2015,UNKNOWN,277,196
2015,WHITE,3434,2646
2015,WHITE HISPANIC,8164,4403
2015,AMER IND,63,66
2015,ASIAN/PAC.ISL,905,871
2015,BLACK,16627,6551
2015,HISPANIC,11128,5912
2015,UNKNOWN,256,184
2015,WHITE,3247,2783
2015,AMER IND,51,50
2015,ASIAN/PAC.ISL,1020,978
2015,BLACK,17795,7399
2015,HISPANIC,11601,6370
2015,UNKNOWN,274,226
2015,WHITE,3407,2838
2015,AMER IND,58,51
2015,ASIAN/PAC.ISL,954,939
2015,BLACK,14636,6316
2015,HISPANIC,10066,5733
2015,UNKNOWN,290,191
2015,WHITE,3017,2554
2016,AMER IND,53,51
2016,ASIAN/PAC.ISL,909,899
2016,BLACK,14646,6199
2016,BLACK HISPANIC,2319,1262
2016,UNKNOWN,215,181
2016,WHITE,3023,2702
2016,WHITE HISPANIC,7481,4334
2016,AMER IND,43,51
2016,ASIAN/PAC.ISL,938,867
2016,BLACK,13444,6044
2016,HISPANIC,9532,5540
2016,UNKNOWN,221,185
2016,WHITE,2925,2592
2016,AMER IND,51,50
2016,ASIAN/PAC.ISL,929,823
2016,BLACK,13226,6021
2016,HISPANIC,8953,5252
2016,UNKNOWN,210,139
2016,WHITE,2807,2586
2016,AMER IND,51,54
2016,ASIAN/PAC.ISL,881,900
2016,BLACK,12421,5713
2016,HISPANIC,8527,5181
2016,UNKNOWN,224,176
2016,WHITE,2804,2610
2017,AMER IND,40,41
2017,ASIAN/PAC.ISL,766,751
2017,BLACK,11405,5149
2017,HISPANIC,7775,4692
2017,UNKNOWN,193,140
2017,WHITE,2438,2288
2017,AMER IND,52,47
2017,ASIAN/PAC.ISL,810,830
2017,BLACK,11050,5089
2017,HISPANIC,7383,4704
2017,UNKNOWN,161,140
2017,WHITE,2392,2210
2017,AMER IND,49,52
2017,ASIAN/PAC.ISL,831,826
2017,BLACK,10800,5708
2017,HISPANIC,7388,4815
2017,UNKNOWN,147,149
2017,WHITE,2363,2182
2017,AMER IND,56,48
2017,ASIAN/PAC.ISL,826,802
2017,BLACK,10637,5441
2017,HISPANIC,7366,4771
2017,UNKNOWN,142,125
2017,WHITE,2212,1975
2018,AMER IND,49,51
2018,ASIAN/PAC.ISL,768,888
2018,BLACK,10817,4913
2018,HISPANIC,7423,4833
2018,UNKNOWN,133,101
2018,WHITE,2405,1904
2018,AMER IND,49,43
2018,ASIAN/PAC.ISL,791,692
2018,BLACK,9366,3708
2018,HISPANIC,6600,3633
2018,UNKNOWN,99,88
2018,WHITE,2119,1689
2018,AMER IND,55,44
2018,ASIAN/PAC.ISL,713,620
2018,BLACK,8853,2960
2018,HISPANIC,6433,3012
2018,UNKNOWN,109,74
2018,WHITE,2094,1425
2018,AMER IND,38,45
2018,ASIAN/PAC.ISL,630,498
2018,BLACK,7665,2451
2018,HISPANIC,5496,2516
2018,UNKNOWN,102,49
2018,WHITE,1926,1211
2019,AMERICAN INDIAN/ALASKAN NATIVE,37,42
2019,ASIAN / PACIFIC ISLANDER,673,504
2019,BLACK,8432,2658
2019,BLACK HISPANIC,1485,640
2019,UNKNOWN,114,83
2019,WHITE,2009,1201
2019,WHITE HISPANIC,4660,1987
2019,AMERICAN INDIAN/ALASKAN NATIVE,50,28
2019,ASIAN / PACIFIC ISLANDER,805,551
2019,BLACK,8403,2236
2019,BLACK HISPANIC,1502,561
2019,UNKNOWN,81,64
2019,WHITE,2052,1111
2019,WHITE HISPANIC,4464,1752
2019,AMERICAN INDIAN/ALASKAN NATIVE,36,24
2019,ASIAN / PACIFIC ISLANDER,697,473
2019,BLACK,"8,117","2,094"
2019,BLACK HISPANIC,"1,448",504
2019,UNKNOWN,89,48
2019,WHITE,"1,845",960
2019,WHITE HISPANIC,"4,259","1,539"
2019,AMERICAN INDIAN/ALASKAN NATIVE,32,34
2019,ASIAN / PACIFIC ISLANDER,505,375
2019,BLACK,"5,905","1,812"
2019,BLACK HISPANIC,"1,049",432
2019,UNKNOWN,49,29
2019,WHITE,"1,512",774
2019,WHITE HISPANIC,"3,114","1,485"
2020,AMERICAN INDIAN/ALASKAN NATIVE,33,21
2020,ASIAN / PACIFIC ISLANDER,495,411
2020,BLACK,4524,3043
2020,BLACK HISPANIC,769,630
2020,UNKNOWN,54,65
2020,WHITE,1021,1108
2020,WHITE HISPANIC,2430,1986
2020,AMERICAN INDIAN/ALASKAN NATIVE,17,8
2020,ASIAN / PACIFIC ISLANDER,363,156
2020,BLACK,2262,1412
2020,BLACK HISPANIC,435,290
2020,UNKNOWN,17,11
2020,WHITE,500,509
2020,WHITE HISPANIC,1393,882
2020,AMERICAN INDIAN/ALASKAN NATIVE,20,9
2020,ASIAN / PACIFIC ISLANDER,331,152
2020,BLACK,2328,1223
2020,BLACK HISPANIC,475,252
2020,UNKNOWN,22,10
2020,WHITE,616,527
2020,WHITE HISPANIC,1230,765
2020,AMERICAN INDIAN/ALASKAN NATIVE,35,19
2020,ASIAN / PACIFIC ISLANDER,383,237
2020,BLACK,3111,2054
2020,BLACK HISPANIC,519,419
2020,UNKNOWN,14,16
2020,WHITE,645,742
2020,WHITE HISPANIC,1508,1234
2021,AMERICAN INDIAN/ALASKAN NATIVE,17,19
2021,ASIAN / PACIFIC ISLANDER,379,298
2021,BLACK,3351,2591
2021,BLACK HISPANIC,585,544
2021,UNKNOWN,12,25
2021,WHITE,688,824
2021,WHITE HISPANIC,1785,1501
