"date","sex","age","race","boro","crimsusp","frisked","searched","hit"
2017-01-16,"MALE","39","(null)","MANHATTAN","TERRORISM","N","N","N"
2017-01-16,"MALE","37","(null)","MANHATTAN","TERRORISM","N","N","N"
2017-02-08,"FEMALE","(null)","WHITE","MANHATTAN","OTHER","N","N","N"
2017-02-20,"MALE","31","BLACK HISPANIC","MANHATTAN","GRAND LARCENY AUTO","Y","Y","N"
2017-02-21,"FEMALE","(null)","BLACK","MANHATTAN","BURGLARY","N","N","N"
2017-02-17,"MALE","39","WHITE HISPANIC","MANHATTAN","CPW","Y","Y","Y"
2017-02-25,"FEMALE","19","BLACK","MANHATTAN","CPW","N","N","N"
2017-02-25,"FEMALE","15","BLACK","MANHATTAN","CPW","Y","Y","N"
2017-02-21,"MALE","43","BLACK","MANHATTAN","BURGLARY","Y","Y","N"
2017-03-03,"MALE","33","BLACK","MANHATTAN","CRIMINAL MISCHIEF","Y","Y","Y"
2017-03-16,"MALE","31","BLACK","MANHATTAN","ASSAULT","Y","N","N"
2017-03-16,"MALE","47","WHITE HISPANIC","MANHATTAN","ROBBERY","Y","N","N"
2017-03-31,"MALE","19","BLACK","MANHATTAN","CPW","Y","Y","N"
2017-04-02,"MALE","18","WHITE","MANHATTAN","CRIMINAL MISCHIEF","N","N","N"
2017-04-02,"MALE","19","WHITE","MANHATTAN","CRIMINAL MISCHIEF","N","N","N"
2017-04-04,"MALE","47","WHITE HISPANIC","MANHATTAN","CPW","Y","N","N"
2017-03-24,"MALE","32","WHITE","MANHATTAN","GRAND LARCENY","Y","N","Y"
2017-04-06,"FEMALE","40","WHITE","MANHATTAN","TERRORISM","N","N","N"
2017-04-18,"MALE","45","BLACK","MANHATTAN","MURDER","Y","N","N"
2017-05-06,"MALE","34","BLACK HISPANIC","MANHATTAN","ROBBERY","Y","Y","Y"
2017-05-10,"MALE","41","WHITE HISPANIC","MANHATTAN","GRAND LARCENY","Y","Y","N"
2017-05-17,"MALE","26","WHITE","MANHATTAN","ASSAULT","N","N","N"
2017-05-17,"MALE","28","WHITE","MANHATTAN","ASSAULT","N","N","N"
2017-05-07,"MALE","28","WHITE","MANHATTAN","ASSAULT","N","N","N"
2017-05-17,"MALE","34","WHITE","MANHATTAN","ASSAULT","N","N","N"
2017-05-24,"MALE","(null)","WHITE","MANHATTAN","CPW","N","N","N"
2017-06-08,"MALE","37","BLACK","MANHATTAN","ASSAULT","N","N","N"
2017-06-20,"FEMALE","33","BLACK","MANHATTAN","PETIT LARCENY","Y","Y","Y"
2017-07-06,"MALE","60","BLACK","MANHATTAN","CPW","Y","N","N"
2017-07-26,"MALE","33","BLACK","MANHATTAN","ASSAULT","N","N","N"
2017-08-30,"MALE","30","BLACK","MANHATTAN","THEFT OF SERVICES","N","N","N"
2017-08-30,"MALE","40","BLACK","MANHATTAN","ROBBERY","Y","N","N"
2017-09-06,"MALE","22","WHITE HISPANIC","MANHATTAN","BURGLARY","N","N","N"
2017-09-06,"MALE","29","WHITE HISPANIC","MANHATTAN","BURGLARY","N","N","N"
2017-08-14,"MALE","58","WHITE","MANHATTAN","CPW","Y","N","N"
2017-09-22,"MALE","19","BLACK","MANHATTAN","ASSAULT","N","N","N"
2017-09-22,"MALE","20","BLACK","MANHATTAN","ASSAULT","N","N","N"
2017-09-22,"FEMALE","19","WHITE HISPANIC","MANHATTAN","ASSAULT","N","N","N"
2017-09-22,"MALE","29","BLACK","MANHATTAN","ASSAULT","N","N","N"
2017-09-27,"MALE","27","WHITE","MANHATTAN","OTHER","N","N","N"
2017-10-12,"MALE","54","BLACK","MANHATTAN","MENACING","Y","Y","N"
2017-10-18,"MALE","18","BLACK","MANHATTAN","ROBBERY","N","N","N"
2017-10-20,"MALE","26","WHITE HISPANIC","MANHATTAN","PETIT LARCENY","Y","Y","Y"
2017-10-20,"MALE","17","BLACK","MANHATTAN","ASSAULT","N","N","N"
