"","datestop","crimsusp","frisked","searched","sex","race","age","city"
"1",2072016,"BURG","Y","Y","M","B","48","BRONX"
"2",2182016,"MISDEMEANOR","N","Y","M","W","20","MANHATTAN"
"3",1012016,"FEL","Y","Y","M","P","34","BROOKLYN"
"4",1012016,"FEL","Y","N","M","B","33","BRONX"
"5",1012016,"D.W.I.","N","N","M","B","22","BROOKLYN"
"6",1012016,"FELONY","Y","N","M","B","30","BROOKLYN"
"7",1012016,"FEL","Y","N","M","B","27","BRONX"
"8",1012016,"FEL","Y","N","M","B","35","BROOKLYN"
"9",1012016,"MISD","Y","Y","M","B","22","BRONX"
"10",1012016,"MISD","N","N","M","B","25","BROOKLYN"
"11",1012016,"MISD","Y","Y","M","B","14","BRONX"
"12",1012016,"FELONY","Y","Y","M","A","38","MANHATTAN"
"13",1012016,"CPW","Y","N","M","B","56","BRONX"
"14",1012016,"FELONY","Y","N","M","W","50","QUEENS"
"15",1012016,"FEL","Y","N","M","P","21","QUEENS"
"16",1012016,"FEL","Y","N","M","B","23","QUEENS"
"17",1012016,"FEL","Y","N","M","B","32","BROOKLYN"
"18",1012016,"FEL","Y","N","M","B","25","BROOKLYN"
"19",1012016,"FELONY","Y","N","M","B","24","MANHATTAN"
"20",1012016,"MISD","Y","Y","M","P","18","QUEENS"
"21",1012016,"FELONY","N","N","M","B","31","BROOKLYN"
"22",1012016,"FELONY","N","N","M","W","32","BROOKLYN"
"23",1012016,"CPW","Y","N","M","B","25","STATEN IS"
"24",1012016,"CPW","Y","N","M","Q","25","STATEN IS"
"25",1012016,"FEL","N","N","M","Q","17","QUEENS"
"26",1012016,"FEL","Y","N","M","B","26","MANHATTAN"
"27",1012016,"MISD","Y","N","M","B","38","BRONX"
"28",1012016,"ASSAULT 3","N","N","M","B","32","MANHATTAN"
"29",1012016,"CPW","Y","Y","M","W","31","QUEENS"
"30",1012016,"CRIMINAL TRESPASS","N","Y","M","Q","41","BROOKLYN"
"31",1012016,"ASSAULT 2","N","N","M","B","30","STATEN IS"
"32",1012016,"MISD","Y","N","M","B","17","MANHATTAN"
"33",1012016,"CRIMINAL MISCHIEF/LARCENY MIS","N","Y","M","B","64","QUEENS"
"34",1012016,"FELONY","Y","Y","M","B","21","BROOKLYN"
"35",1012016,"FELONY","Y","Y","M","B","22","BROOKLYN"
"36",1012016,"MISD","Y","Y","M","U","16","BROOKLYN"
"37",1012016,"FEL","Y","N","M","W","20","MANHATTAN"
"38",1012016,"MISDEMEANOR","N","N","M","W","25","BROOKLYN"
"39",1012016,"CRIMINAL MISCHIEF","N","N","M","Q","12","BRONX"
"40",1012016,"CPW","Y","N","M","B","20","BROOKLYN"
"41",1012016,"CPW","Y","N","M","B","24","BROOKLYN"
"42",1012016,"FELONY","Y","Y","M","Q","34","MANHATTAN"
"43",1012016,"BURGLARY","Y","Y","M","Q","29","QUEENS"
"44",1012016,"BURGLARY","Y","Y","M","Q","24","QUEENS"
"45",1012016,"MISD","N","N","F","W","22","BROOKLYN"
"46",1012016,"MISD","N","N","M","W","26","BROOKLYN"
"47",1012016,"CPW","Y","Y","M","Q","29","BRONX"
"48",1012016,"FEL","Y","N","M","P","25","MANHATTAN"
"49",1012016,"FEL","Y","N","M","B","26","BROOKLYN"
"50",1012016,"FEL","Y","N","M","B","28","BROOKLYN"
"51",1012016,"CPW","Y","Y","M","B","23","MANHATTAN"
"52",1012016,"MISD","Y","N","M","W","23","MANHATTAN"
"53",1012016,"MISD","Y","N","M","W","23","MANHATTAN"
"54",1012016,"MISD","Y","Y","M","P","32","BRONX"
"55",1012016,"ROBBERY","Y","N","M","P","26","STATEN IS"
"56",1012016,"ROBBERY","Y","N","M","W","37","STATEN IS"
"57",1012016,"ROBBERY","Y","N","M","W","47","STATEN IS"
"58",1012016,"GLA","Y","N","M","A","20","QUEENS"
