"date","sex","age","race","boro","crimsusp","frisked","searched","hit"
2014-01-01,"M","18","B","BROOKLYN","FEL","Y","N","N"
2014-01-03,"M","31","B","MANHATTAN","CRIMINAL MISCHIEF","Y","Y","Y"
2014-01-04,"M","16","B","BROOKLYN","GRAND LARCENY (FEL)","Y","N","N"
2014-01-09,"M","19","A","BROOKLYN","CRIM TRESPASS","Y","N","N"
2014-01-09,"M","32","B","BROOKLYN","FEL","N","N","N"
2014-01-15,"M","22","B","BRONX","CPW (GRAVITY KNIFE)","Y","Y","Y"
2014-01-17,"M","32","B","BROOKLYN","FEL","Y","N","N"
2014-01-26,"M","49","B","BROOKLYN","PL 140.10E","N","N","Y"
2014-01-30,"M","24","Q","BRONX","FELONY","Y","N","N"
2014-01-31,"M","41","B","BROOKLYN","FEL","Y","N","N"
2014-02-06,"M","39","B","BROOKLYN","FELONY/BURG","Y","N","N"
2014-02-19,"M","30","B","BROOKLYN","MIS/CPW","Y","N","N"
2014-02-20,"M","20","Q","QUEENS","MISD","Y","Y","N"
2014-03-01,"M","22","B","BROOKLYN","MISD","N","N","N"
2014-03-01,"M","1","B","BROOKLYN","MISD","Y","N","N"
2014-03-06,"M","48","Q","QUEENS","CRIMINAL MISCHIEF","Y","N","Y"
2014-03-07,"M","17","B","MANHATTAN","MISD","Y","N","N"
2014-03-12,"M","23","A","QUEENS","GLA","Y","N","N"
2014-03-14,"M","34","Q","BRONX","MISD","N","N","Y"
2014-03-16,"M","20","Q","BROOKLYN","FEL","N","N","N"
2014-03-18,"M","22","B","BROOKLYN","MISD","N","N","N"
2014-03-19,"M","17","W","BROOKLYN","MIS","Y","N","N"
2014-03-27,"M","30","Q","QUEENS","FELONY","N","N","N"
2014-01-01,"M","50","B","BROOKLYN","MISD","Y","Y","N"
2014-01-01,"M","31","P","QUEENS","FEL","Y","N","Y"
2014-01-01,"M","20","B","BROOKLYN","CPW","N","N","N"
2014-01-01,"M","26","B","BROOKLYN","FELONY","Y","N","N"
2014-01-01,"M","27","B","BROOKLYN","MISD","Y","N","N"
2014-01-01,"M","27","B","BROOKLYN","MISD","Y","N","N"
2014-01-01,"M","17","Q","BRONX","CPW","Y","N","N"
2014-01-01,"M","35","B","BRONX","CPW","Y","N","N"
2014-01-01,"M","17","B","STATEN ISLAND","CPW","Y","N","N"
2014-01-01,"M","51","B","BROOKLYN","CPW","Y","N","N"
2014-01-01,"M","24","B","BROOKLYN","FEL","Y","N","N"
2014-01-01,"M","31","B","BROOKLYN","ASSAULT","Y","N","N"
2014-01-01,"M","28","B","BROOKLYN","FELONY","Y","N","N"
2014-01-01,"M","31","B","BROOKLYN","FELONY","Y","N","N"
2014-01-01,"F","23","B","BROOKLYN","FELONY","Y","N","N"
2014-01-01,"M","21","A","QUEENS","FELONY","Y","N","N"
2014-01-01,"M","17","B","BROOKLYN","FELONY","Y","N","N"
2014-01-01,"M","19","P","BRONX","CPW","Y","N","N"
2014-01-01,"M","18","Q","BRONX","CPW","Y","N","N"
2014-01-01,"M","27","B","STATEN ISLAND","CPW","Y","N","N"
2014-01-01,"M","13","Q","STATEN ISLAND","BURGLARY","Y","N","N"
2014-01-01,"M","30","B","BRONX","CPM (MISD)","N","N","Y"
2014-01-01,"M","34","B","BRONX","ASSAULT","Y","Y","N"
2014-01-01,"M","35","B","BRONX","ASSAULT","Y","Y","N"
2014-01-01,"M","42","B","QUEENS","FELONY","N","N","N"
2014-01-01,"M","46","Q","BROOKLYN","BURGLARY","N","N","N"
2014-01-01,"M","21","P","MANHATTAN","FEL","N","N","N"
2014-01-01,"M","18","B","MANHATTAN","FELONY","N","N","N"
2014-01-01,"M","14","B","MANHATTAN","FELONY","N","N","N"
2014-01-01,"M","19","Q","BRONX","FELONY","Y","N","N"
2014-01-01,"M","22","Q","BRONX","FELONY","Y","N","N"
2014-01-01,"M","34","B","MANHATTAN","FELONY","Y","N","N"
2014-01-01,"F","25","B","STATEN ISLAND","CPM","N","N","N"
2014-01-01,"M","18","B","MANHATTAN","FELONY","Y","Y","Y"
2014-01-01,"M","23","B","STATEN ISLAND","CPM","N","N","N"
2014-01-01,"M","24","B","MANHATTAN","FELONY","Y","N","Y"
2014-01-01,"M","21","B","MANHATTAN","FELONY","Y","N","N"
2014-01-01,"M","41","B","MANHATTAN","FELONY","Y","N","N"
2014-01-01,"M","**","Q","QUEENS","CPM/ CRIMINAL TRESPASS","N","N","N"
2014-01-01,"M","19","U","MANHATTAN","FELONY","Y","Y","Y"
2014-01-01,"M","37","W","QUEENS","CRIMINAL MISCHIEF","Y","N","Y"
2014-01-01,"M","22","B","QUEENS","ROBBERY","Y","N","N"
2014-01-01,"M","21","B","BRONX","FELONY","Y","N","N"
2014-01-01,"M","19","B","BROOKLYN","FELONY","Y","N","N"
2014-01-01,"M","18","B","BROOKLYN","FELONY","Y","N","N"
2014-01-01,"M","26","B","MANHATTAN","MISD","Y","N","N"
2014-01-01,"M","42","B","QUEENS","FELONY","Y","N","N"
2014-01-01,"M","31","P","BRONX","FELONY","Y","N","N"
2014-01-01,"M","42","B","STATEN ISLAND","ASSAULT","Y","N","N"
2014-01-01,"M","19","B","BRONX","ASSAULT","Y","Y","N"
2014-01-01,"M","20","B","BROOKLYN","FELONY","Y","N","N"
2014-01-01,"M","22","B","STATEN ISLAND","CPCS","N","N","N"
2014-01-01,"M","29","B","BRONX","ASSAULT/CPW","Y","N","N"
2014-01-01,"M","18","B","BROOKLYN","FEL","Y","N","N"
2014-01-01,"M","20","B","BRONX","CPW","Y","N","N"
2014-01-01,"M","20","B","BRONX","CPW","Y","N","N"
2014-01-01,"F","34","Q","STATEN ISLAND","ASSAULT","N","N","N"
2014-01-01,"M","24","B","BRONX","FELONY","Y","N","N"
2014-01-01,"M","35","Q","BRONX","ASSAULT","Y","N","Y"
2014-01-01,"M","23","Q","BRONX","ASSAULT 2","Y","N","Y"
2014-01-01,"M","27","Q","BRONX","ASSAULT 2","Y","Y","Y"
2014-01-01,"M","25","B","BROOKLYN","CPW MISD","Y","N","N"
2014-01-01,"M","24","B","BRONX","FELONY","N","N","N"
2014-01-01,"M","20","B","BRONX","FELONY","N","N","N"
2014-01-01,"M","22","B","BRONX","FELONY","N","N","N"
2014-01-01,"M","22","B","BRONX","FELONY","N","N","N"
2014-01-01,"M","22","B","BRONX","FELONY","N","N","N"
2014-01-01,"M","25","A","QUEENS","CRIM MISF","Y","N","N"
2014-01-01,"M","25","Q","BROOKLYN","ASSAULT","N","N","N"
2014-01-01,"M","47","Q","BROOKLYN","ASSAULT","N","N","N"
2014-01-01,"M","39","Q","BROOKLYN","ASSAULT","N","N","N"
2014-01-01,"M","50","Q","BROOKLYN","ASSAULT","N","N","N"
2014-01-01,"M","21","Q","BROOKLYN","ASSAULT","N","N","N"
2014-01-01,"M","17","P","BRONX","MISD","Y","N","N"
2014-01-01,"M","19","B","BROOKLYN","ROBBERY","Y","N","N"
2014-01-01,"M","20","B","BROOKLYN","CPW","Y","N","N"
2014-01-01,"M","36","B","MANHATTAN","FEL","Y","Y","N"
2014-01-01,"M","54","B","BROOKLYN","GLA","N","N","N"
2014-01-01,"M","54","W","QUEENS","FELONY","N","N","N"
2014-01-01,"M","44","B","MANHATTAN","CPW","Y","N","N"
2014-01-01,"M","40","I","QUEENS","GLA","Y","N","Y"
2014-01-01,"M","24","B","STATEN ISLAND","PETIT LARCENY","Y","Y","Y"
2014-01-01,"M","43","B","BROOKLYN","MISD","Y","Y","N"
2014-01-01,"M","15","P","BRONX","MISD","Y","N","N"
2014-01-01,"M","19","Q","BRONX","MISD","Y","N","N"
2014-01-01,"M","56","B","STATEN ISLAND","GLA","Y","N","N"
2014-01-01,"M","53","B","STATEN ISLAND","GLA","Y","N","N"
2014-01-01,"M","18","B","QUEENS","ROBBERY","N","N","N"
2014-01-01,"M","20","B","QUEENS","ROBBERY","N","N","N"
2014-01-01,"M","17","Q","QUEENS","ROBBERY","N","N","N"
2014-01-01,"M","36","Q","BRONX","FELONY","Y","N","Y"
2014-01-01,"M","16","B","BROOKLYN","MISD","Y","N","N"
2014-01-01,"M","17","B","BROOKLYN","MISD","Y","N","Y"
2014-01-01,"M","43","B","BRONX","CPW","Y","Y","Y"
2014-01-01,"M","24","B","BROOKLYN","FELONY/BURG","Y","N","Y"
2014-01-01,"F","14","A","MANHATTAN","FELONY","Y","N","N"
2014-01-01,"M","14","B","MANHATTAN","FELONY","Y","N","N"
2014-01-01,"M","14","B","MANHATTAN","FELONY","Y","N","N"
2014-01-01,"M","15","B","MANHATTAN","FELONY","Y","N","N"
2014-01-01,"M","16","B","MANHATTAN","FELNY","Y","N","N"
2014-01-01,"M","13","P","MANHATTAN","FELONY","Y","N","N"
2014-01-01,"M","31","Q","MANHATTAN","MISD","Y","N","N"
2014-01-01,"M","18","B","QUEENS","CRIMINAL TRESPASS","Y","N","Y"
2014-01-01,"M","42","W","MANHATTAN","MISD","N","N","N"
2014-01-01,"F","36","Q","BRONX","CPM (MISD)","N","N","Y"
2014-01-01,"M","36","Q","BRONX","CPM (MISD)","N","N","Y"
2014-01-01,"M","47","B","BROOKLYN","FEL","N","N","N"
2014-01-01,"M","32","B","BRONX","CPW","Y","N","N"
2014-01-01,"M","31","B","BROOKLYN","BURGLARY (FEL)","N","N","N"
2014-01-01,"F","41","Z","MANHATTAN","MISD","N","N","Y"
2014-01-01,"M","19","B","BROOKLYN","FEL","Y","N","N"
2014-01-01,"M","48","Z","MANHATTAN","MISD","N","N","Y"
2014-01-01,"M","24","P","BRONX","ROBBERY","Y","N","N"
2014-01-01,"M","32","Q","BROOKLYN","FEL","N","N","N"
2014-01-01,"M","22","Q","BRONX","CPW","Y","N","N"
2014-01-01,"M","35","B","BROOKLYN","FELONY/GLA","N","N","N"
2014-01-01,"M","30","B","MANHATTAN","FEL  / BURGLARY","Y","Y","Y"
2014-01-01,"M","23","Q","BRONX","CPM (MISD)","N","Y","Y"
2014-01-01,"F","47","Q","BRONX","CT (MISD)","Y","N","N"
2014-01-01,"M","44","Q","BRONX","CT (MISD)","Y","N","Y"
2014-01-01,"M","19","Q","BRONX","CT (MISD)","Y","N","Y"
2014-01-01,"M","36","W","BROOKLYN","FEL","Y","N","N"
2014-01-01,"Z","34","Z","BROOKLYN","FEL","Y","N","N"
2014-01-01,"M","47","B","BRONX","CPW","Y","N","N"
2014-01-01,"M","26","W","STATEN ISLAND","GRAND LARCENY","Y","N","N"
2014-01-01,"M","21","B","BROOKLYN","ROBBERY","N","N","N"
2014-01-01,"M","26","B","BRONX","CPW","Y","N","N"
2014-01-01,"M","27","B","BRONX","CPW","Y","Y","N"
2014-01-01,"M","25","B","BROOKLYN","ROBBERY (FEL)","Y","N","N"
2014-01-01,"M","39","B","BRONX","CPW","Y","N","N"
2014-01-01,"M","49","B","MANHATTAN","MISD","N","Y","Y"
2014-01-01,"M","34","W","QUEENS","FEL/GLFA","N","N","N"
2014-01-01,"M","38","W","BROOKLYN","FEL","Y","N","N"
2014-01-01,"M","41","B","BRONX","MISD","N","N","N"
2014-01-01,"M","19","B","BRONX","ROBBERY","Y","N","Y"
2014-01-01,"M","14","B","BRONX","ROBBERY","Y","N","Y"
2014-01-01,"M","19","B","BROOKLYN","FEL","Y","N","N"
2014-01-01,"M","42","B","BROOKLYN","ROBBERY (FEL)","Y","N","N"
2014-01-01,"M","36","B","BROOKLYN","ROBBERY (FEL)","Y","N","N"
2014-01-01,"M","17","Q","BRONX","ROBBERY","Y","N","Y"
2014-01-01,"M","13","Q","BRONX","ROBBERY","Y","N","Y"
2014-01-01,"M","21","Q","BRONX","CPM","N","N","Y"
2014-01-01,"F","33","W","BROOKLYN","CRIMINAL CONTEMPT","Y","N","N"
2014-01-01,"F","38","B","MANHATTAN","FELONY","Y","Y","Y"
2014-01-01,"M","35","B","MANHATTAN","FELONY","Y","Y","Y"
2014-01-01,"M","33","B","MANHATTAN","FELONY","Y","N","N"
2014-01-01,"M","26","B","MANHATTAN","FELONY","Y","Y","Y"
